# Review

## Summary
The paper introduces Continuous Online Action Detection (COAD), a novel task formulation that enables models to not only detect actions in real time, but also train and adapt directly on continuous video streams. To support this task, the authors curated Ego-OAD, a large-scale benchmark derived from Ego4D. The proposed method introduces training strategies tailored for OAD from continuous video streams, and experiments on Ego-OAD validate the effectiveness of COAD.

## Soundness
3

## Presentation
3

## Contribution
3

## Strengths
1. The paper is well-written and easy to follow.
2. The paper introduces a new task formulation that enables models to adapt online from continuous egocentric video streams using single-pass training.
3. The paper curates a new large-scale benchmark for egocentric OAD based on the Ego4D dataset, providing a diverse and realistic evaluation platform for future research in this direction.
4. The proposed method for COAD improves adaptation to the user’s environment and boosts generalization to new scenarios.

## Weaknesses
1. The proposed COAD task is interesting, but its application scenarios are not very clear. Please provide more explanation of the application scenarios of COAD.
2. The proposed COAD task is similar to the online action detection task, what are the main differences between COAD and online action detection?
3. The proposed COAD task is similar to the continuous video action recognition task, what are the main differences between COAD and continuous video action recognition?
4. The proposed COAD task is similar to the on-device learning task, what are the main differences between COAD and on-device learning?
5. The proposed COAD task is similar to the continual learning task, what are the main differences between COAD and continual learning?
6. The proposed COAD task is similar to the cross-domain action recognition task, what are the main differences between COAD and cross-domain action recognition?
7. The proposed COAD task is similar to the cross-domain action detection task, what are the main differences between COAD and cross-domain action detection?
8. The proposed COAD task is similar to the cross-domain video action recognition task, what are the main differences between COAD and cross-domain video action recognition?
9. The proposed COAD task is similar to the cross-domain video action detection task, what are the main differences between COAD and cross-domain video action detection?
10. The proposed COAD task is similar to the cross-domain video temporal localization of events task, what are the main differences between COAD and cross-domain video temporal localization of events?
11. The proposed COAD task is similar to the cross-domain video moment query task, what are the main differences between COAD and cross-domain video moment query?
12. The proposed COAD task is similar to the cross-domain video temporal grounding task, what are the main differences between COAD and cross-domain video temporal grounding?
13. The proposed COAD task is similar to the cross-domain video action segmentation task, what are the main differences between COAD and cross-domain video action segmentation?
14. The proposed COAD task is similar to the cross-domain video action proposal generation task, what are the main differences between COAD and cross-domain video action proposal generation?
15. The proposed COAD task is similar to the cross-domain video action proposal detection task, what are the main differences between COAD and cross-domain video action proposal detection?
16. The proposed COAD task is similar to the cross-domain video shot detection task, what are the main differences between COAD and cross-domain video shot detection?
